country,merit,outcome,2017,2018,2019,2020,2021,2022,2023
Bulgaria,NA,pending,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,NA,filed,NA,NA,NA,NA,NA,22,NA
Burkina Faso,FALSE,nonmerit_dismiss_jurisdiction,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,TRUE,merit_dismiss_confirm,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,TRUE,merit_allow_referback,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,TRUE,merit_allow_substitute,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,NA,total_finalized,NA,NA,NA,NA,NA,22,NA
Burkina Faso,NA,pending,NA,NA,NA,NA,NA,NA,NA
Burundi,NA,filed,20,NA,NA,NA,NA,21,NA
Burundi,FALSE,nonmerit_dismiss_jurisdiction,NA,NA,NA,NA,NA,NA,NA
Burundi,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Burundi,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Burundi,TRUE,merit_dismiss_confirm,NA,NA,NA,NA,NA,NA,NA
Burundi,TRUE,merit_allow_referback,NA,NA,NA,NA,NA,NA,NA
Burundi,TRUE,merit_allow_substitute,NA,NA,NA,NA,NA,NA,NA
Burundi,NA,total_finalized,NA,NA,NA,NA,NA,20,NA
Burundi,NA,pending,NA,NA,NA,NA,NA,NA,NA
Cambodia,NA,filed,NA,NA,NA,NA,NA,NA,NA
Cambodia,FALSE,nonmerit_dismiss_jurisdiction,NA,NA,NA,NA,NA,NA,NA
Cambodia,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Cambodia,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Cambodia,TRUE,merit_dismiss_confirm,NA,NA,NA,NA,NA,NA,NA
Cambodia,TRUE,merit_allow_referback,NA,NA,NA,NA,NA,NA,NA
Cambodia,TRUE,merit_allow_substitute,NA,NA,NA,NA,NA,NA,NA
Cambodia,NA,total_finalized,NA,NA,NA,NA,NA,NA,NA
Cambodia,NA,pending,NA,NA,NA,NA,NA,NA,NA
Cameroon,NA,filed,39,43,43,29,55,54,20
Cameroon,FALSE,nonmerit_dismiss_jurisdiction,NA,NA,NA,NA,NA,NA,NA
Cameroon,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Cameroon,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Cameroon,TRUE,merit_dismiss_confirm,NA,49,NA,39,26,31,NA
Cameroon,TRUE,merit_allow_referback,NA,NA,NA,NA,NA,NA,NA
Cameroon,TRUE,merit_allow_substitute,NA,NA,NA,NA,NA,NA,NA
Cameroon,NA,total_finalized,NA,67,NA,57,56,61,32
Cameroon,NA,pending,55,31,57,29,28,21,NA
Central African Republic,NA,filed,NA,NA,NA,NA,NA,NA,NA
Central African Republic,FALSE,nonmerit_dismiss_jurisdiction,NA,NA,NA,NA,NA,NA,NA
Central African Republic,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Central African Republic,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Central African Republic,TRUE,merit_dismiss_confirm,NA,NA,NA,NA,NA,NA,NA
Central African Republic,TRUE,merit_allow_referback,NA,NA,NA,NA,NA,NA,NA
Central African Republic,TRUE,merit_allow_substitute,NA,NA,NA,NA,NA,NA,NA
Central African Republic,NA,total_finalized,NA,NA,NA,NA,NA,NA,NA
Central African Republic,NA,pending,NA,NA,NA,NA,NA,NA,NA
Chad,NA,filed,41,32,NA,32,NA,25,NA
Chad,FALSE,nonmerit_dismiss_jurisdiction,NA,NA,NA,NA,NA,NA,NA
Chad,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Chad,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Chad,TRUE,merit_dismiss_confirm,NA,NA,27,NA,NA,NA,NA
Chad,TRUE,merit_allow_referback,NA,NA,NA,NA,NA,NA,NA
Chad,TRUE,merit_allow_substitute,NA,NA,NA,NA,NA,NA,NA
Chad,NA,total_finalized,NA,34,39,25,32,23,NA
Chad,NA,pending,46,46,20,27,NA,NA,NA
Chile,NA,filed,NA,33,33,NA,32,94,105
Chile,FALSE,nonmerit_dismiss_jurisdiction,NA,NA,NA,NA,NA,NA,NA
Chile,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Chile,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Chile,TRUE,merit_dismiss_confirm,NA,NA,22,NA,25,47,62
Chile,TRUE,merit_allow_referback,NA,NA,NA,NA,NA,NA,NA
Chile,TRUE,merit_allow_substitute,NA,NA,NA,NA,NA,NA,NA
Chile,NA,total_finalized,NA,22,42,NA,41,66,89
Chile,NA,pending,NA,26,NA,NA,NA,34,50
China,NA,filed,457,428,471,244,462,355,133
China,FALSE,nonmerit_dismiss_jurisdiction,NA,21,NA,NA,NA,NA,NA
China,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,20,NA
China,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
China,TRUE,merit_dismiss_confirm,219,215,202,361,277,220,133
China,TRUE,merit_allow_referback,52,37,38,64,31,31,NA
China,TRUE,merit_allow_substitute,NA,NA,40,152,153,148,75
China,NA,total_finalized,319,301,311,592,490,424,238
China,NA,pending,289,416,576,232,206,142,41
Colombia,NA,filed,100,210,340,279,320,476,353
Colombia,FALSE,nonmerit_dismiss_jurisdiction,49,79,116,60,50,77,38
Colombia,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Colombia,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Colombia,TRUE,merit_dismiss_confirm,20,NA,97,165,219,160,156
Colombia,TRUE,merit_allow_referback,NA,NA,NA,29,NA,36,39
Colombia,TRUE,merit_allow_substitute,NA,NA,40,54,73,154,144
Colombia,NA,total_finalized,95,107,267,317,375,448,384
Colombia,NA,pending,60,163,236,201,146,172,141
Congo (Brazzaville),NA,filed,NA,NA,27,NA,24,34,NA
Congo (Brazzaville),FALSE,nonmerit_dismiss_jurisdiction,NA,NA,NA,NA,NA,NA,NA
Congo (Brazzaville),FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Congo (Brazzaville),FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Congo (Brazzaville),TRUE,merit_dismiss_confirm,NA,NA,NA,NA,NA,NA,NA
Congo (Brazzaville),TRUE,merit_allow_referback,NA,NA,NA,NA,NA,NA,NA
Congo (Brazzaville),TRUE,merit_allow_substitute,NA,NA,NA,NA,NA,NA,NA
Congo (Brazzaville),NA,total_finalized,NA,NA,NA,NA,21,32,23
Congo (Brazzaville),NA,pending,NA,NA,21,NA,NA,NA,NA
Congo (Kinshasa),NA,filed,91,49,182,150,180,292,152
Congo (Kinshasa),FALSE,nonmerit_dismiss_jurisdiction,NA,NA,NA,NA,NA,NA,NA
Congo (Kinshasa),FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,24,27
Congo (Kinshasa),FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Congo (Kinshasa),TRUE,merit_dismiss_confirm,NA,50,55,89,171,150,175
Congo (Kinshasa),TRUE,merit_allow_referback,NA,NA,NA,NA,NA,NA,38
Congo (Kinshasa),TRUE,merit_allow_substitute,NA,NA,NA,23,NA,21,NA
Congo (Kinshasa),NA,total_finalized,50,76,99,145,243,218,263
Congo (Kinshasa),NA,pending,91,63,146,156,93,167,56
Costa Rica,NA,filed,NA,NA,NA,NA,NA,NA,NA
Costa Rica,FALSE,nonmerit_dismiss_jurisdiction,NA,NA,NA,NA,NA,NA,NA
Costa Rica,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Costa Rica,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Costa Rica,TRUE,merit_dismiss_confirm,NA,NA,NA,NA,NA,NA,NA
Costa Rica,TRUE,merit_allow_referback,NA,NA,NA,NA,NA,NA,NA
Costa Rica,TRUE,merit_allow_substitute,NA,NA,NA,NA,NA,NA,NA
Costa Rica,NA,total_finalized,NA,NA,NA,NA,NA,NA,NA
Costa Rica,NA,pending,NA,NA,NA,NA,NA,NA,NA
Croatia,NA,filed,NA,NA,NA,NA,NA,NA,NA
Croatia,FALSE,nonmerit_dismiss_jurisdiction,NA,NA,NA,NA,NA,NA,NA
Croatia,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Croatia,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Croatia,TRUE,merit_dismiss_confirm,NA,NA,NA,NA,NA,NA,NA
Croatia,TRUE,merit_allow_referback,NA,NA,NA,NA,NA,NA,NA
Croatia,TRUE,merit_allow_substitute,NA,NA,NA,NA,NA,NA,NA
Croatia,NA,total_finalized,NA,NA,NA,NA,NA,NA,NA
Croatia,NA,pending,NA,NA,NA,NA,NA,NA,NA
Cuba,NA,filed,NA,NA,NA,NA,NA,30,NA
Cuba,FALSE,nonmerit_dismiss_jurisdiction,NA,NA,NA,NA,NA,NA,NA
Cuba,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Cuba,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Cuba,TRUE,merit_dismiss_confirm,NA,NA,NA,NA,NA,NA,NA
Cuba,TRUE,merit_allow_referback,NA,NA,NA,NA,NA,NA,NA
Cuba,TRUE,merit_allow_substitute,NA,NA,NA,NA,NA,NA,NA
Cuba,NA,total_finalized,NA,NA,NA,NA,NA,22,34
Cuba,NA,pending,NA,NA,NA,NA,NA,20,NA
Cyprus,NA,filed,NA,NA,NA,NA,NA,NA,NA
Cyprus,FALSE,nonmerit_dismiss_jurisdiction,NA,NA,NA,NA,NA,NA,NA
Cyprus,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Cyprus,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Cyprus,TRUE,merit_dismiss_confirm,NA,NA,NA,NA,NA,NA,NA
