year,country,merit,outcome,count
2017,Czech Republic,FALSE,nonmerit_dismiss_imperfect,NA
2017,Czech Republic,FALSE,nonmerit_dismiss_other,NA
2017,Czech Republic,TRUE,merit_dismiss_confirm,NA
2017,Czech Republic,TRUE,merit_allow_referback,NA
2017,Czech Republic,TRUE,merit_allow_substitute,NA
2017,Czech Republic,NA,total_finalized,NA
2017,Czech Republic,NA,pending,NA
2017,Djibouti,NA,filed,55
2017,Djibouti,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Djibouti,FALSE,nonmerit_dismiss_imperfect,NA
2017,Djibouti,FALSE,nonmerit_dismiss_other,NA
2017,Djibouti,TRUE,merit_dismiss_confirm,NA
2017,Djibouti,TRUE,merit_allow_referback,NA
2017,Djibouti,TRUE,merit_allow_substitute,NA
2017,Djibouti,NA,total_finalized,22
2017,Djibouti,NA,pending,35
2017,Dominica,NA,filed,NA
2017,Dominica,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Dominica,FALSE,nonmerit_dismiss_imperfect,NA
2017,Dominica,FALSE,nonmerit_dismiss_other,NA
2017,Dominica,TRUE,merit_dismiss_confirm,NA
2017,Dominica,TRUE,merit_allow_referback,NA
2017,Dominica,TRUE,merit_allow_substitute,NA
2017,Dominica,NA,total_finalized,NA
2017,Dominica,NA,pending,NA
2017,Dominican Republic,NA,filed,NA
2017,Dominican Republic,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Dominican Republic,FALSE,nonmerit_dismiss_imperfect,NA
2017,Dominican Republic,FALSE,nonmerit_dismiss_other,NA
2017,Dominican Republic,TRUE,merit_dismiss_confirm,NA
2017,Dominican Republic,TRUE,merit_allow_referback,NA
2017,Dominican Republic,TRUE,merit_allow_substitute,NA
2017,Dominican Republic,NA,total_finalized,NA
2017,Dominican Republic,NA,pending,NA
2017,Ecuador,NA,filed,NA
2017,Ecuador,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Ecuador,FALSE,nonmerit_dismiss_imperfect,NA
2017,Ecuador,FALSE,nonmerit_dismiss_other,NA
2017,Ecuador,TRUE,merit_dismiss_confirm,NA
2017,Ecuador,TRUE,merit_allow_referback,NA
2017,Ecuador,TRUE,merit_allow_substitute,NA
2017,Ecuador,NA,total_finalized,NA
2017,Ecuador,NA,pending,NA
2017,Egypt,NA,filed,37
2017,Egypt,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Egypt,FALSE,nonmerit_dismiss_imperfect,NA
2017,Egypt,FALSE,nonmerit_dismiss_other,NA
2017,Egypt,TRUE,merit_dismiss_confirm,NA
2017,Egypt,TRUE,merit_allow_referback,NA
2017,Egypt,TRUE,merit_allow_substitute,NA
2017,Egypt,NA,total_finalized,23
2017,Egypt,NA,pending,28
2017,El Salvador,NA,filed,29
2017,El Salvador,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,El Salvador,FALSE,nonmerit_dismiss_imperfect,NA
2017,El Salvador,FALSE,nonmerit_dismiss_other,NA
2017,El Salvador,TRUE,merit_dismiss_confirm,NA
2017,El Salvador,TRUE,merit_allow_referback,NA
2017,El Salvador,TRUE,merit_allow_substitute,NA
2017,El Salvador,NA,total_finalized,31
2017,El Salvador,NA,pending,NA
2017,Equatorial Guinea,NA,filed,NA
2017,Equatorial Guinea,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Equatorial Guinea,FALSE,nonmerit_dismiss_imperfect,NA
2017,Equatorial Guinea,FALSE,nonmerit_dismiss_other,NA
2017,Equatorial Guinea,TRUE,merit_dismiss_confirm,NA
2017,Equatorial Guinea,TRUE,merit_allow_referback,NA
2017,Equatorial Guinea,TRUE,merit_allow_substitute,NA
2017,Equatorial Guinea,NA,total_finalized,NA
2017,Equatorial Guinea,NA,pending,NA
2017,Eritrea,NA,filed,49
2017,Eritrea,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Eritrea,FALSE,nonmerit_dismiss_imperfect,NA
2017,Eritrea,FALSE,nonmerit_dismiss_other,NA
2017,Eritrea,TRUE,merit_dismiss_confirm,NA
2017,Eritrea,TRUE,merit_allow_referback,NA
2017,Eritrea,TRUE,merit_allow_substitute,NA
2017,Eritrea,NA,total_finalized,38
2017,Eritrea,NA,pending,28
2017,Ethiopia,NA,filed,86
2017,Ethiopia,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Ethiopia,FALSE,nonmerit_dismiss_imperfect,NA
2017,Ethiopia,FALSE,nonmerit_dismiss_other,NA
2017,Ethiopia,TRUE,merit_dismiss_confirm,42
2017,Ethiopia,TRUE,merit_allow_referback,NA
2017,Ethiopia,TRUE,merit_allow_substitute,NA
2017,Ethiopia,NA,total_finalized,81
2017,Ethiopia,NA,pending,42
2017,Finland,NA,filed,NA
2017,Finland,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Finland,FALSE,nonmerit_dismiss_imperfect,NA
2017,Finland,FALSE,nonmerit_dismiss_other,NA
2017,Finland,TRUE,merit_dismiss_confirm,NA
2017,Finland,TRUE,merit_allow_referback,NA
2017,Finland,TRUE,merit_allow_substitute,NA
2017,Finland,NA,total_finalized,NA
2017,Finland,NA,pending,NA
2017,France,NA,filed,NA
2017,France,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,France,FALSE,nonmerit_dismiss_imperfect,NA
2017,France,FALSE,nonmerit_dismiss_other,NA
2017,France,TRUE,merit_dismiss_confirm,NA
2017,France,TRUE,merit_allow_referback,NA
2017,France,TRUE,merit_allow_substitute,NA
2017,France,NA,total_finalized,NA
2017,France,NA,pending,NA
2017,Gabon,NA,filed,NA
2017,Gabon,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Gabon,FALSE,nonmerit_dismiss_imperfect,NA
2017,Gabon,FALSE,nonmerit_dismiss_other,NA
2017,Gabon,TRUE,merit_dismiss_confirm,NA
2017,Gabon,TRUE,merit_allow_referback,NA
2017,Gabon,TRUE,merit_allow_substitute,NA
2017,Gabon,NA,total_finalized,NA
2017,Gabon,NA,pending,NA
2017,Gambia,NA,filed,NA
2017,Gambia,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Gambia,FALSE,nonmerit_dismiss_imperfect,NA
2017,Gambia,FALSE,nonmerit_dismiss_other,NA
2017,Gambia,TRUE,merit_dismiss_confirm,NA
2017,Gambia,TRUE,merit_allow_referback,NA
2017,Gambia,TRUE,merit_allow_substitute,NA
2017,Gambia,NA,total_finalized,NA
2017,Gambia,NA,pending,NA
2017,Georgia,NA,filed,42
2017,Georgia,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Georgia,FALSE,nonmerit_dismiss_imperfect,NA
2017,Georgia,FALSE,nonmerit_dismiss_other,NA
2017,Georgia,TRUE,merit_dismiss_confirm,NA
2017,Georgia,TRUE,merit_allow_referback,NA
2017,Georgia,TRUE,merit_allow_substitute,NA
2017,Georgia,NA,total_finalized,NA
2017,Georgia,NA,pending,39
2017,Germany,NA,filed,NA
2017,Germany,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Germany,FALSE,nonmerit_dismiss_imperfect,NA
2017,Germany,FALSE,nonmerit_dismiss_other,NA
2017,Germany,TRUE,merit_dismiss_confirm,NA
2017,Germany,TRUE,merit_allow_referback,NA
2017,Germany,TRUE,merit_allow_substitute,NA
2017,Germany,NA,total_finalized,NA
2017,Germany,NA,pending,NA
2017,Ghana,NA,filed,55
2017,Ghana,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Ghana,FALSE,nonmerit_dismiss_imperfect,NA
2017,Ghana,FALSE,nonmerit_dismiss_other,NA
2017,Ghana,TRUE,merit_dismiss_confirm,23
2017,Ghana,TRUE,merit_allow_referback,NA
2017,Ghana,TRUE,merit_allow_substitute,NA
2017,Ghana,NA,total_finalized,34
2017,Ghana,NA,pending,42
2017,Greece,NA,filed,NA
2017,Greece,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Greece,FALSE,nonmerit_dismiss_imperfect,NA
2017,Greece,FALSE,nonmerit_dismiss_other,NA
2017,Greece,TRUE,merit_dismiss_confirm,NA
2017,Greece,TRUE,merit_allow_referback,NA
2017,Greece,TRUE,merit_allow_substitute,NA
2017,Greece,NA,total_finalized,NA
2017,Greece,NA,pending,NA
2017,Guatemala,NA,filed,NA
2017,Guatemala,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Guatemala,FALSE,nonmerit_dismiss_imperfect,NA
2017,Guatemala,FALSE,nonmerit_dismiss_other,NA
2017,Guatemala,TRUE,merit_dismiss_confirm,NA
2017,Guatemala,TRUE,merit_allow_referback,NA
2017,Guatemala,TRUE,merit_allow_substitute,NA
2017,Guatemala,NA,total_finalized,NA
2017,Guatemala,NA,pending,NA
2017,Guinea,NA,filed,NA
2017,Guinea,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Guinea,FALSE,nonmerit_dismiss_imperfect,NA
2017,Guinea,FALSE,nonmerit_dismiss_other,NA
2017,Guinea,TRUE,merit_dismiss_confirm,NA
2017,Guinea,TRUE,merit_allow_referback,NA
2017,Guinea,TRUE,merit_allow_substitute,NA
2017,Guinea,NA,total_finalized,NA
2017,Guinea,NA,pending,NA
2017,Guinea-Bissau,NA,filed,NA
2017,Guinea-Bissau,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Guinea-Bissau,FALSE,nonmerit_dismiss_imperfect,NA
2017,Guinea-Bissau,FALSE,nonmerit_dismiss_other,NA
2017,Guinea-Bissau,TRUE,merit_dismiss_confirm,NA
2017,Guinea-Bissau,TRUE,merit_allow_referback,NA
2017,Guinea-Bissau,TRUE,merit_allow_substitute,NA
2017,Guinea-Bissau,NA,total_finalized,NA
2017,Guinea-Bissau,NA,pending,NA
2017,Guyana,NA,filed,NA
2017,Guyana,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Guyana,FALSE,nonmerit_dismiss_imperfect,NA
2017,Guyana,FALSE,nonmerit_dismiss_other,NA
2017,Guyana,TRUE,merit_dismiss_confirm,NA
2017,Guyana,TRUE,merit_allow_referback,NA
2017,Guyana,TRUE,merit_allow_substitute,NA
2017,Guyana,NA,total_finalized,NA
2017,Guyana,NA,pending,NA
2017,Haiti,NA,filed,423
2017,Haiti,FALSE,nonmerit_dismiss_jurisdiction,54
2017,Haiti,FALSE,nonmerit_dismiss_imperfect,NA
2017,Haiti,FALSE,nonmerit_dismiss_other,NA
2017,Haiti,TRUE,merit_dismiss_confirm,50
2017,Haiti,TRUE,merit_allow_referback,NA
2017,Haiti,TRUE,merit_allow_substitute,NA
2017,Haiti,NA,total_finalized,116
2017,Haiti,NA,pending,401
2017,Honduras,NA,filed,NA
2017,Honduras,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Honduras,FALSE,nonmerit_dismiss_imperfect,NA
2017,Honduras,FALSE,nonmerit_dismiss_other,NA
2017,Honduras,TRUE,merit_dismiss_confirm,NA
2017,Honduras,TRUE,merit_allow_referback,NA
2017,Honduras,TRUE,merit_allow_substitute,NA
2017,Honduras,NA,total_finalized,NA
2017,Honduras,NA,pending,NA
2017,Hong Kong (SAR),NA,filed,NA
2017,Hong Kong (SAR),FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Hong Kong (SAR),FALSE,nonmerit_dismiss_imperfect,NA
2017,Hong Kong (SAR),FALSE,nonmerit_dismiss_other,NA
2017,Hong Kong (SAR),TRUE,merit_dismiss_confirm,NA
2017,Hong Kong (SAR),TRUE,merit_allow_referback,NA
2017,Hong Kong (SAR),TRUE,merit_allow_substitute,NA
2017,Hong Kong (SAR),NA,total_finalized,NA
2017,Hong Kong (SAR),NA,pending,NA
2017,Hungary,NA,filed,132
